query,title,description,content,vaderScore,finbertResult
Invesco QQQ,Top Bank Stocks To Consider – March 3rd,"Invesco QQQ, Bank of America, JPMorgan Chase & Co., Fiserv, Vertiv, Mastercard, and PayPal are the seven Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares of companies primarily engaged in providing banking serv…","Invesco QQQ, Bank of America, JPMorgan Chase &amp; Co., Fiserv, Vertiv, Mastercard, and PayPal are the seven Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are… [+8178 chars]",0.6908,neutral
Invesco QQQ,Bank Stocks To Research – March 2nd,"Invesco QQQ, Bank of America, JPMorgan Chase & Co., Wells Fargo & Company, Mastercard, Citigroup, and Walt Disney are the seven Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares of publicly traded financial inst…","Invesco QQQ, Bank of America, JPMorgan Chase &amp; Co., Wells Fargo &amp; Company, Mastercard, Citigroup, and Walt Disney are the seven Bank stocks to watch today, according to MarketBeat’s stock scr… [+8665 chars]",0.6369,neutral
Invesco QQQ,February 2025 ETF Flows: Record Highs and Sharp Selloffs,ETFs pulled in $110.8 billion in February as markets hit new highs before tumbling on trade war fears.,"etf.com
February was a month of mixed emotions in the markets. The S&amp;P 500 reached an all-time high on Feb. 19, driven by optimism over strong earnings growth and the potential for new tax cuts … [+81970 chars]",0.2263,negative
Invesco QQQ,Staying With The Market’s Trend,"Another wild week for stocks as bullish sentiment plunged. Tom Aspray reviews an objective, price-based major trend and shares the key end-of month data.","Financial arrows up or down -staying with the trend
getty
One of the most important skills in trading and investing is being able to identify the key levels of support and resistance for a given ma… [+5241 chars]",0.7397,neutral
Invesco QQQ,‘Hot money’ flees Bitcoin at record pace,"Investors pulled a record US$3.3 billion from Bitcoin exchange-traded funds in February, poised for their biggest monthly exodus. Read more","Bitcoins inability to stay above the US$97,000 mark is the first sign of what Bank of America calls the bro bubble popping
Author of the article:
There is risk that Bitcoin prices can go lower to t… [+7498 chars]",-0.7165,negative
Invesco QQQ,QQQ vs. QQQM: Which Invesco Nasdaq ETF Is the Smarter Buy?,"For growth investors who just aren't satisfied with the technology exposure provided by the S&P 500, there's the Invesco QQQ Trust (NASDAQ:QQQ). Undoubtedly, the QQQ is a popular option for young passive investors who believe in emerging tech themes and activ…","For growth investors who just aren't satisfied with the technology exposure provided by the S&amp;P 500, there's the Invesco QQQ Trust (NASDAQ:QQQ). Undoubtedly, the QQQ is a popular option for young… [+147 chars]",0.948,neutral
Invesco QQQ,QQQ vs. QQQM: Which Invesco Nasdaq ETF Is the Smarter Buy?,"For growth investors who just aren’t satisfied with the technology exposure provided by the S&P 500, there’s the Invesco QQQ Trust (NASDAQ:QQQ). Undoubtedly, the QQQ is a popular option for young passive investors who believe in emerging tech themes and activ…","For growth investors who just arent satisfied with the technology exposure provided by the S&amp;P 500, theres the Invesco QQQ Trust (NASDAQ:QQQ). Undoubtedly, the QQQ is a popular option for young p… [+144 chars]",0.9669,neutral
Invesco QQQ,Invesco QQQ Trust: Pivot points,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",0.8442,neutral
Invesco QQQ,Bank Stocks To Research – February 25th,"Invesco QQQ, JPMorgan Chase & Co., Fiserv, Vertiv, and PayPal are the five Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares that represent ownership interests in banking institutions. They offer investors expos…","Invesco QQQ, JPMorgan Chase &amp; Co., Fiserv, Vertiv, and PayPal are the five Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares that represent ownersh… [+5874 chars]",0.6597,neutral
QQQ ETF,"S&P 500, Nasdaq 100 Trackers SPY And QQQ Below 200-Day Average As Tariff Concerns Continue To Trouble Markets","The exchange-traded funds tracking the S&P 500 index fell again, whereas the one tracking the Nasdaq 100 continues to remain below its 200-day average as President Donald Trump‘s tariff announcements continue to make headlines.
What Happened: The technical an…","The exchange-traded funds tracking the S&amp;P 500 index fell again, whereas the one tracking the Nasdaq 100 continues to remain below its 200-day average as President Donald Trumps tariff announceme… [+150 chars]",-0.4019,negative
QQQ ETF,IVV Attracts $18.3 Billion; KRE Grows Its Asset Base,"The iShares Core S&P 500 ETF (IVV) pulled in $18.3 billion on Tuesday. Here are the daily ETF fund flows for March 26, 2025.","The iShares Core S&amp;P 500 ETF (IVV) pulled in $18.3 billion as the S&amp;P 500 eked out a 0.2% gain Tuesday, according to etf.com daily fund flows data.
The Invesco QQQ Trust (QQQ) attracted $1 b… [+4687 chars]",0.9287,positive
QQQ ETF,FT Vest Nasdaq-100 Buffer ETF – March (BATS:QMAR) Stock Price Down 2.2% – Here’s Why,"Shares of FT Vest Nasdaq-100 Buffer ETF – March (BATS:QMAR – Get Free Report) traded down 2.2% during trading on Monday . The company traded as low as $29.93 and last traded at $29.03. 20,650 shares changed hands during mid-day trading, a decline of 67% from …","Shares of FT Vest Nasdaq-100 Buffer ETF – March (BATS:QMAR – Get Free Report) traded down 2.2% during trading on Monday . The company traded as low as $29.93 and last traded at $29.03. 20,650 shares … [+2185 chars]",0.8807,negative
QQQ ETF,What's hot in ETFs? Bond funds are in demand as investors flee the Nasdaq 'QQQ',"About 2,000 asset managers and investment advisors are here at the Exchange ETF conference in Las Vegas.
A small ETF crowd arrived Saturday night to see Dead & Co. at the Sphere, who put on an amazing light show on top of an amazing music show. (What did you …","About 2,000 asset managers and investment advisors are here at the Exchange ETF conference in Las Vegas.A small ETF crowd arrived Saturday night to see Dead &amp; Co. at the Sphere, who put on an ama… [+153 chars]",0.5106,neutral
QQQ ETF,What's hot in ETFs? Bond funds are in demand as investors flee the Nasdaq 'QQQ',"There have been strong inflows into fixed income, especially ultrashort funds. Precious metal funds have seen surprisingly light inflows.","About 2,000 asset managers and investment advisors are here at the Exchange ETF conference in Las Vegas.  
A small ETF crowd arrived Saturday night to see Dead &amp; Co. at the Sphere, who put on an… [+7850 chars]",0.7322,neutral
QQQ ETF,FT Vest International Equity Moderate Buffer ETF – December (BATS:YDEC) Holdings Raised by Avantax Advisory Services Inc.,"Avantax Advisory Services Inc. increased its position in shares of FT Vest International Equity Moderate Buffer ETF – December (BATS:YDEC – Free Report) by 20.8% during the fourth quarter, according to its most recent Form 13F filing with the Securities and E…","Avantax Advisory Services Inc. increased its position in shares of FT Vest International Equity Moderate Buffer ETF – December (BATS:YDEC – Free Report) by 20.8% during the fourth quarter, according … [+3471 chars]",0.9371,positive
QQQ ETF,FT Vest Nasdaq-100 Buffer ETF – June (BATS:QJUN) Stock Position Decreased by Avantax Advisory Services Inc.,"Avantax Advisory Services Inc. trimmed its stake in FT Vest Nasdaq-100 Buffer ETF – June (BATS:QJUN – Free Report) by 28.8% during the fourth quarter, according to its most recent filing with the Securities & Exchange Commission. The fund owned 25,984 shares …","Avantax Advisory Services Inc. trimmed its stake in FT Vest Nasdaq-100 Buffer ETF – June (BATS:QJUN – Free Report) by 28.8% during the fourth quarter, according to its most recent filing with the Sec… [+2863 chars]",0.875,negative
QQQ ETF,"Nasdaq 100 Index Outperforms The S&P 500, But Has Its Pros And Cons","Despite its tech-heavy bias, the Nasdaq 100 remains a compelling, and winning, investment choice for certain investors.","Home to megacaps like Nvidia (NVDA), Alphabet (GOOGL) and Apple (AAPL), the Nasdaq 100 index is celebrating its 40th anniversary this year, with a record worthy of the party. Its total return has out… [+6889 chars]",0.9793,positive
QQQ ETF,"EverSource Wealth Advisors LLC Takes $35,000 Position in Innovator Growth Accelerated Plus ETF – October (BATS:QTOC)","EverSource Wealth Advisors LLC bought a new stake in shares of Innovator Growth Accelerated Plus ETF – October (BATS:QTOC – Free Report) during the fourth quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commiss…","EverSource Wealth Advisors LLC bought a new stake in shares of Innovator Growth Accelerated Plus ETF – October (BATS:QTOC – Free Report) during the fourth quarter, according to the company in its mos… [+1711 chars]",0.981,neutral
QQQ ETF,The Evolution of Structured Crypto Products,"As the institutional demand for such products grows, several trends in adoption are becoming clearer.","Australia-based digital asset firm Zerocap is in a prime position to observe the development of the structured product space, having operated OTC, market making, derivatives and crypto custody busine… [+8630 chars]",0.25,positive
QQQ ETF,"Week Ahead & Stocks Rally On Bearish News - That’s Good, Right?","On Monday, March 10, stocks plunged to their lowest levels in six months, driven by relentless tariff threats from President Donald Trump","NEW YORK, NEW YORK - OCTOBER 04: Traders work on the floor of the New York Stock Exchange during ... [+] morning trading on October 04, 2023 in New York City. The market opened up slightly high amid … [+6382 chars]",-0.3182,negative
QQQ ETF,Bitcoin outperforms tech stocks as US market opens to sea of green,"The US stock market has opened to a sea of green on seemingly minor news. While President Trump’s call to Vladamir Putin to end the war in Ukraine could be seen as a potential ease to global tensions, the market appears to be responding primarily to a lack of…",The US stock market has opened to a sea of green on seemingly minor news. While President Trump’s call to Vladamir Putin to end the war in Ukraine could be seen as a potential ease to global tensions… [+1835 chars],-0.8316,positive
QQQ ETF,"As Wall Street gets worried, retail investors keep buying US stocks","Despite a market downturn fueled by Trump’s trade war, retail investors poured $7.3 billion into stocks, favoring Tesla and leveraged ETFs. While Wall Street grows cautious, individual investors remain bullish, raising concerns that a true market bottom is ye…","Even as Donald Trumps trade war sends the US stock market hurtling toward a correction, the individual investors who rode the bull run to record highs havent yet given up their faith.The so-called re… [+2615 chars]",-0.802,negative
QQQ ETF,Why Nasdaq-100 Leveraged ETF TQQQ Is Falling,"ProShares UltraPro QQQ (NASDAQ:TQQQ) is trading lower by 4.14% to $58.60 Thursday afternoon. Major indexes are lower despite softer-than-expected Feb. PPI data. Continued tariff concerns may be weighing on market sentiment.
What To Know: February's PPI was fl…","Youve Read the News - Now Find the ExpertClick to discover leading experts on 50,000+ topics for media, events &amp; more.
Discover Experts on 50,000+ TopicsConnect for media, speaking, expert witne… [+95 chars]",-0.6444,negative
QQQ ETF,US Stocks Rattled Anew as Trump Ramps Up Trade War With Canada,"US stocks coughed up early gains after President Donald Trump said he will increase levies on Canadian steel and aluminum, adding to uncertainty about the path of the American economy.","US stocks coughed up early gains after President Donald Trump said he will increase levies on Canadian steel and aluminum, adding to uncertainty about the path of the American economy.
Author of the… [+8294 chars]",-0.0772,neutral
QQQ ETF,A Major Market Rotation Is Likely Coming,"In recent years, mega-cap technology stocks have significantly outperformed the broader market and dividend stocks in particular, as evidenced by the massive outperformance of the Nasdaq (QQQ) relative to the Schwab U.S. Dividend Equity ETF (
Join Now to Acce…","Youve Read the News - Now Find the ExpertDiscover leading experts on 50,000+ topics for media, events &amp; more.
Discover Experts on 50,000+ TopicsConnect for media, speaking, expert witness inquir… [+86 chars]",0.296,positive
QQQ ETF,Analyst That Nailed January 2025 Bitcoin Top Predicts BTC Rallies in Coming Months – But There’s a Catch,"A crypto strategist who accurately called the January Bitcoin correction believes that BTC still has room to run to the upside this year. Analyst Benjamin Cowen tells his 987,300 followers on the social media platform X that he sees Bitcoin sparking a “counte…","A crypto strategist who accurately called the January Bitcoin correction believes that BTC still has room to run to the upside this year.
Analyst Benjamin Cowen tells his 987,300 followers on the so… [+1673 chars]",0.1027,neutral
QQQ ETF,"SPY, VOO, or QQQ: Discover Which ETF Reigns Supreme for U.S. Investors",,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]",0.7964,neutral
QQQ ETF,Auto ETFs Skid Despite Trump Tariff Exemption,"Auto ETFs holding Ford, General Motors fell despite Trump's Mexican tariff exemptions affecting automakers.","Ford trucks on the lot
Auto ETFs holding Ford Motor Co. (F) and General Motors Co. (GM) dipped Thursday, despite President Donald Trump granting the automakers a month-long exemption from 25% tariff… [+2101 chars]",0.3182,negative
QQQ ETF,"Daily ETF Flows: SPY, VTI and BIL Lead Inflows Amid Selloff","The SPDR Bloomberg 1-3 Month T-Bill ETF (BIL) pulled in $672.1 million in fresh assets Tuesday. Here are the daily ETF flows for March 5, 2025.","Bond 
The SPDR Bloomberg 1-3 Month T-Bill ETF (BIL) pulled in $672.1 million in fresh assets Tuesday, with total assets under management growing 1.8% to $38.4 billion, according to etf.com daily ETF… [+4837 chars]",0.8268,positive
QQQ ETF,February 2025 ETF Flows: Record Highs and Sharp Selloffs,ETFs pulled in $110.8 billion in February as markets hit new highs before tumbling on trade war fears.,"etf.com
February was a month of mixed emotions in the markets. The S&amp;P 500 reached an all-time high on Feb. 19, driven by optimism over strong earnings growth and the potential for new tax cuts … [+81970 chars]",0.2263,negative
QQQ ETF,The market's riskiest way to trade on the biggest tech stocks is not well understood by investors,"Leveraged and inverse ETFs trading on hot tech stocks like Nvidia, Tesla and Palantir can generate big returns, but equally big losses.","Over the last few years, a new class of big-cap stocks have stolen the attention of investors and day-traders. Nvidia, Tesla and Palantir often lead the market's daily trading volume. Exchange-traded… [+4051 chars]",-0.8503,negative
QQQ ETF,Staying With The Market’s Trend,"Another wild week for stocks as bullish sentiment plunged. Tom Aspray reviews an objective, price-based major trend and shares the key end-of month data.","Financial arrows up or down -staying with the trend
getty
One of the most important skills in trading and investing is being able to identify the key levels of support and resistance for a given ma… [+5241 chars]",0.7397,neutral
QQQ ETF,‘Hot money’ flees Bitcoin at record pace,"Investors pulled a record US$3.3 billion from Bitcoin exchange-traded funds in February, poised for their biggest monthly exodus. Read more","Bitcoins inability to stay above the US$97,000 mark is the first sign of what Bank of America calls the bro bubble popping
Author of the article:
There is risk that Bitcoin prices can go lower to t… [+7498 chars]",-0.7165,negative
QQQ ETF,QQQ vs. QQQM: Which Invesco Nasdaq ETF Is the Smarter Buy?,"For growth investors who just aren't satisfied with the technology exposure provided by the S&P 500, there's the Invesco QQQ Trust (NASDAQ:QQQ). Undoubtedly, the QQQ is a popular option for young passive investors who believe in emerging tech themes and activ…","For growth investors who just aren't satisfied with the technology exposure provided by the S&amp;P 500, there's the Invesco QQQ Trust (NASDAQ:QQQ). Undoubtedly, the QQQ is a popular option for young… [+147 chars]",0.948,neutral
QQQ ETF,QQQ vs. QQQM: Which Invesco Nasdaq ETF Is the Smarter Buy?,"For growth investors who just aren’t satisfied with the technology exposure provided by the S&P 500, there’s the Invesco QQQ Trust (NASDAQ:QQQ). Undoubtedly, the QQQ is a popular option for young passive investors who believe in emerging tech themes and activ…","For growth investors who just arent satisfied with the technology exposure provided by the S&amp;P 500, theres the Invesco QQQ Trust (NASDAQ:QQQ). Undoubtedly, the QQQ is a popular option for young p… [+144 chars]",0.9669,neutral
NASDAQ100,Briefly Noted . . .,Parnassus International Equity Fund is […],"By TheShadow Parnassus International Equity Fund is in registration.  The fund, managed by Ken Ryan, CFA, will be a large cap fund that invests in equity securities of non-U.S. companies.  Expenses h… [+9293 chars]",0.296,neutral
NASDAQ100,"Bitcoin’s ‘Trump trade’ is over — Traders shift hope to Fed rate cuts, expanding global liquidity","The pre-and-post-election Trump trade sent Bitcoin to new highs, but the jig is up. Traders now shift their hope to the resumption of QE and expanding global liquidity.","Financial markets are sending mixed signals as uncertainty reaches new highs. On Feb. 25, the US debt ceiling was raised from $36.1 trillion to $40.1 trillion, marking another massive expansion in go… [+6261 chars]",-0.2144,positive
Invesco QQQ Trust,Invesco QQQ Trust: Pivot points,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",0.8442,neutral
Invesco QQQ Trust,IVV Attracts $18.3 Billion; KRE Grows Its Asset Base,"The iShares Core S&P 500 ETF (IVV) pulled in $18.3 billion on Tuesday. Here are the daily ETF fund flows for March 26, 2025.","The iShares Core S&amp;P 500 ETF (IVV) pulled in $18.3 billion as the S&amp;P 500 eked out a 0.2% gain Tuesday, according to etf.com daily fund flows data.
The Invesco QQQ Trust (QQQ) attracted $1 b… [+4687 chars]",0.9287,positive
Invesco QQQ Trust,Invesco QQQ (NASDAQ:QQQ) Shares Up 0.5% Following Dividend Announcement,"Invesco QQQ (NASDAQ:QQQ – Get Free Report)’s stock price rose 0.5% on Tuesday following a dividend announcement from the company. The stock traded as high as $493.51 and last traded at $493.21. Approximately 9,253,483 shares were traded during trading, a decl…",Invesco QQQ (NASDAQ:QQQ – Get Free Report)’s stock price rose 0.5% on Tuesday following a dividend announcement from the company. The stock traded as high as $493.51 and last traded at $493.21. Appro… [+2671 chars],0.875,positive
Invesco QQQ Trust,Bank Stocks To Consider – March 23rd,"Invesco QQQ, BlackRock, JPMorgan Chase & Co., Mastercard, and U.S. Bancorp are the five Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks refer to shares issued by banking institutions that can be traded on public stock ex…","Invesco QQQ, BlackRock, JPMorgan Chase &amp; Co., Mastercard, and U.S. Bancorp are the five Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks refer to shares issu… [+5990 chars]",0.5267,neutral
Invesco QQQ Trust,What's hot in ETFs? Bond funds are in demand as investors flee the Nasdaq 'QQQ',"There have been strong inflows into fixed income, especially ultrashort funds. Precious metal funds have seen surprisingly light inflows.","About 2,000 asset managers and investment advisors are here at the Exchange ETF conference in Las Vegas.  
A small ETF crowd arrived Saturday night to see Dead &amp; Co. at the Sphere, who put on an… [+7850 chars]",0.7322,neutral
Invesco QQQ Trust,Promising Bank Stocks To Follow Today – March 21st,"Invesco QQQ, JPMorgan Chase & Co., Bank of America, Mastercard, Mitsubishi UFJ Financial Group, Citigroup, and Wells Fargo & Company are the seven Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares issued by comp…","Invesco QQQ, JPMorgan Chase &amp; Co., Bank of America, Mastercard, Mitsubishi UFJ Financial Group, Citigroup, and Wells Fargo &amp; Company are the seven Bank stocks to watch today, according to Mar… [+8576 chars]",0.7845,neutral
Invesco QQQ Trust,"Nasdaq 100 Index Outperforms The S&P 500, But Has Its Pros And Cons","Despite its tech-heavy bias, the Nasdaq 100 remains a compelling, and winning, investment choice for certain investors.","Home to megacaps like Nvidia (NVDA), Alphabet (GOOGL) and Apple (AAPL), the Nasdaq 100 index is celebrating its 40th anniversary this year, with a record worthy of the party. Its total return has out… [+6889 chars]",0.9793,positive
Invesco QQQ Trust,"EverSource Wealth Advisors LLC Takes $35,000 Position in Innovator Growth Accelerated Plus ETF – October (BATS:QTOC)","EverSource Wealth Advisors LLC bought a new stake in shares of Innovator Growth Accelerated Plus ETF – October (BATS:QTOC – Free Report) during the fourth quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commiss…","EverSource Wealth Advisors LLC bought a new stake in shares of Innovator Growth Accelerated Plus ETF – October (BATS:QTOC – Free Report) during the fourth quarter, according to the company in its mos… [+1711 chars]",0.981,neutral
Invesco QQQ Trust,Invesco QQQ Trust: Pivot points,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",0.8442,neutral
Invesco QQQ Trust,Top Bank Stocks To Follow Today – March 16th,"Invesco QQQ, JPMorgan Chase & Co., and Bank of America are the three Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares representing partial ownership in banking institutions, allowing investors to participate in…","Invesco QQQ, JPMorgan Chase &amp; Co., and Bank of America are the three Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares representing partial ownersh… [+3667 chars]",0.6369,neutral
